CustomerID,Gender,Age,Region,SubscriptionType,TenureMonths,MonthlyCharges,TotalCharges,PaymentMethod,SupportTickets,ContractType,Churn
CUST10000,Male,64,East,Standard,39,99.27,2514.05,UPI,5,Month-to-Month,No
CUST10001,Female,29,North,Standard,49,80.38,4189.35,Bank Transfer,2,Month-to-Month,No
CUST10002,Male,33,East,Basic,62,69.33,3117.47,Credit Card,1,Month-to-Month,Yes
CUST10003,Male,41,North,Basic,38,24.01,4557.98,Credit Card,5,One Year,No
CUST10004,Male,36,West,Basic,23,118.43,1004.81,Debit Card,2,Month-to-Month,Yes
CUST10005,Female,25,West,Basic,22,58.35,7976.22,UPI,1,Month-to-Month,No
CUST10006,Male,48,East,Basic,4,35.22,3461.89,Credit Card,0,Two Year,Yes
CUST10007,Male,38,South,Basic,49,86.67,2851.02,Bank Transfer,7,Month-to-Month,No
CUST10008,Male,34,North,Basic,59,48.43,5710.66,Credit Card,0,Month-to-Month,Yes
CUST10009,Female,40,South,Standard,68,78.58,2974.81,Credit Card,4,Month-to-Month,Yes
CUST10010,Male,54,South,Standard,71,78.68,6682.87,Debit Card,5,Month-to-Month,No
CUST10011,Male,33,South,Premium,2,64.57,3688.74,Bank Transfer,2,Month-to-Month,No
CUST10012,Male,23,West,Standard,49,103.61,5784.51,Bank Transfer,6,Two Year,No
CUST10013,Male,25,East,Standard,31,46.5,948.88,UPI,1,Two Year,No
CUST10014,Female,42,East,Premium,40,64.86,6784.34,Bank Transfer,6,Month-to-Month,Yes
CUST10015,Male,35,West,Standard,48,73.77,5912.17,Credit Card,1,Month-to-Month,No
CUST10016,Female,42,West,Standard,51,86.36,1772.56,Bank Transfer,4,Month-to-Month,Yes
CUST10017,Female,29,East,Standard,43,98.4,1247.76,Bank Transfer,6,Month-to-Month,No
CUST10018,Female,32,South,Basic,55,59.48,2598.71,Credit Card,2,Month-to-Month,No
CUST10019,Male,43,North,Basic,49,84.6,7810.96,Debit Card,3,Two Year,Yes
CUST10020,Female,58,North,Standard,57,35.06,2128.97,UPI,0,Month-to-Month,No
CUST10021,Male,62,North,Standard,15,113.26,3703.4,UPI,2,Month-to-Month,No
CUST10022,Female,43,South,Basic,27,58.31,337.16,Debit Card,8,Month-to-Month,No
CUST10023,Female,64,East,Premium,68,92.95,3238.1,Credit Card,9,Month-to-Month,No
CUST10024,Female,49,West,Standard,64,22.03,4613.43,UPI,4,Month-to-Month,No
CUST10025,Female,27,East,Standard,30,40.52,7629.68,Debit Card,7,Month-to-Month,Yes
CUST10026,Female,33,South,Premium,36,68.71,4182.21,Debit Card,1,Month-to-Month,No
CUST10027,Female,24,West,Standard,67,107.83,6570.95,Debit Card,2,One Year,No
CUST10028,Female,34,South,Premium,49,72.73,4422.31,UPI,6,Month-to-Month,No
CUST10029,Female,40,North,Standard,55,112.99,422.2,UPI,9,Month-to-Month,No
CUST10030,Male,43,North,Basic,56,68.38,2588.57,UPI,3,Month-to-Month,No
CUST10031,Male,38,South,Standard,68,69.04,4646.84,UPI,8,Two Year,No
CUST10032,Female,39,West,Standard,44,31.97,7609.69,Bank Transfer,6,Month-to-Month,No
CUST10033,Female,24,West,Standard,31,100.27,6887.13,Debit Card,0,Month-to-Month,No
CUST10034,Female,31,East,Premium,58,44.7,1904.01,Bank Transfer,3,Month-to-Month,No
CUST10035,Male,32,North,Standard,53,109.96,1838.87,Debit Card,9,One Year,No
CUST10036,Female,24,East,Standard,23,111.08,1689.27,UPI,5,Month-to-Month,No
CUST10037,Male,26,East,Premium,28,114.33,7387.74,UPI,5,Month-to-Month,No
CUST10038,Male,68,South,Standard,16,72.02,6836.06,Bank Transfer,9,Month-to-Month,No
CUST10039,Male,65,South,Standard,37,87.71,6221.58,Credit Card,5,Month-to-Month,No
CUST10040,Male,25,East,Premium,21,97.85,3202.61,UPI,4,Month-to-Month,No
CUST10041,Male,67,North,Basic,17,33.1,4084.61,Credit Card,2,Month-to-Month,No
CUST10042,Female,40,South,Standard,37,80.1,3768.22,Debit Card,1,One Year,No
CUST10043,Female,46,East,Premium,19,23.43,2101.85,Bank Transfer,2,One Year,No
CUST10044,Female,35,East,Standard,30,69.76,4089.72,Credit Card,8,Month-to-Month,No
CUST10045,Female,48,East,Standard,45,35.48,340.92,Credit Card,2,Month-to-Month,No
CUST10046,Female,47,East,Standard,18,38.29,1141.3,UPI,2,Month-to-Month,No
CUST10047,Male,69,East,Standard,62,56.5,7104.06,Credit Card,0,Month-to-Month,No
CUST10048,Female,56,East,Premium,36,63.24,6038.27,Credit Card,1,Two Year,No
CUST10049,Female,52,South,Basic,52,82.32,3440.66,Debit Card,2,Two Year,Yes
CUST10050,Male,35,North,Basic,19,27.44,4185.49,Bank Transfer,1,Month-to-Month,No
CUST10051,Female,59,East,Basic,44,70.37,3022.99,UPI,7,Month-to-Month,No
CUST10052,Male,56,West,Standard,7,38.26,5952.16,UPI,5,Month-to-Month,No
CUST10053,Female,34,South,Standard,44,77.4,6295.08,Credit Card,6,One Year,No
CUST10054,Male,31,South,Premium,68,83.74,6129.95,Debit Card,0,One Year,No
CUST10055,Female,48,East,Standard,34,75.67,5808.63,Credit Card,5,One Year,Yes
CUST10056,Female,41,South,Standard,66,93.83,1715.58,Credit Card,1,One Year,No
CUST10057,Male,52,East,Basic,69,53.56,2769.96,UPI,5,Month-to-Month,Yes
CUST10058,Male,61,North,Standard,55,96.51,3811.78,Credit Card,2,One Year,No
CUST10059,Male,62,North,Standard,10,63.28,2713.26,Credit Card,6,One Year,No
CUST10060,Male,51,South,Basic,42,68.42,6064.03,Debit Card,2,Month-to-Month,No
CUST10061,Male,20,South,Basic,41,84.81,2701.89,UPI,8,Month-to-Month,No
CUST10062,Male,54,West,Basic,69,21.84,1192.03,Bank Transfer,2,One Year,No
CUST10063,Male,60,South,Basic,10,85.4,3252.42,Debit Card,6,Month-to-Month,No
CUST10064,Male,57,West,Standard,10,81.86,7841.32,Debit Card,3,One Year,Yes
CUST10065,Female,43,North,Basic,60,50.98,1884.46,Debit Card,7,One Year,No
CUST10066,Female,40,North,Standard,51,28.58,4936.05,UPI,1,One Year,No
CUST10067,Male,61,East,Premium,21,29.09,3520.49,Credit Card,7,One Year,No
CUST10068,Female,56,North,Standard,8,112.32,661.09,Bank Transfer,8,Month-to-Month,Yes
CUST10069,Female,32,West,Premium,65,88.93,3954.23,UPI,7,One Year,Yes
CUST10070,Female,66,South,Standard,30,32.71,5647.1,Credit Card,5,Month-to-Month,Yes
CUST10071,Female,21,East,Standard,49,55.67,4154.44,Debit Card,9,Month-to-Month,Yes
CUST10072,Male,46,West,Premium,9,79.25,6989.64,UPI,0,Month-to-Month,No
CUST10073,Female,39,South,Basic,17,103.56,2382.6,Credit Card,6,Month-to-Month,Yes
CUST10074,Male,42,East,Premium,69,24.37,781.37,Bank Transfer,0,Month-to-Month,No
CUST10075,Female,30,North,Basic,58,43.66,7498.87,Bank Transfer,6,Two Year,No
CUST10076,Female,35,West,Standard,57,108.97,3087.75,Credit Card,1,Month-to-Month,No
CUST10077,Female,50,South,Basic,62,20.92,4653.6,UPI,7,Month-to-Month,No
CUST10078,Male,33,East,Standard,52,40.14,6356.82,Debit Card,1,Month-to-Month,Yes
CUST10079,Female,62,East,Standard,61,115.9,2662.08,Credit Card,2,Month-to-Month,No
CUST10080,Male,59,North,Standard,40,81.34,5757.7,Debit Card,2,One Year,No
CUST10081,Female,61,South,Basic,38,46.17,1169.81,Bank Transfer,0,Month-to-Month,Yes
CUST10082,Male,19,North,Basic,43,26.7,2401.22,Credit Card,4,One Year,No
CUST10083,Female,52,North,Basic,63,22.82,1243.21,Bank Transfer,4,One Year,No
CUST10084,Male,59,South,Basic,19,44.47,6508.72,Debit Card,9,Month-to-Month,No
CUST10085,Male,51,South,Premium,50,108.15,1858.93,Debit Card,4,Two Year,No
CUST10086,Female,47,South,Basic,33,61.59,5767.49,Credit Card,8,Month-to-Month,No
CUST10087,Male,30,West,Premium,13,92.03,7552.06,Credit Card,5,Month-to-Month,Yes
CUST10088,Female,30,South,Premium,62,111.83,4269.4,Credit Card,5,Two Year,No
CUST10089,Female,35,East,Basic,43,60.8,4366.23,Bank Transfer,2,Two Year,Yes
CUST10090,Female,49,North,Standard,49,39.13,3742.17,Debit Card,4,Month-to-Month,No
CUST10091,Female,49,West,Basic,36,71.71,2674.53,Debit Card,9,Month-to-Month,No
CUST10092,Female,52,South,Basic,10,110.81,3857.67,Bank Transfer,6,Month-to-Month,Yes
CUST10093,Female,56,West,Basic,6,100.44,4862.18,Credit Card,2,Month-to-Month,No
CUST10094,Female,63,South,Standard,57,26.58,7889.33,UPI,1,Two Year,No
CUST10095,Female,69,West,Standard,1,89.26,7508.34,Credit Card,4,Month-to-Month,No
CUST10096,Female,46,North,Standard,71,77.19,6911.01,UPI,2,Month-to-Month,No
CUST10097,Female,66,North,Standard,58,110.75,7124.13,UPI,4,Two Year,No
CUST10098,Female,46,East,Basic,21,32.25,3796.01,Bank Transfer,8,Month-to-Month,No
CUST10099,Male,61,East,Standard,56,73.4,5293.81,Debit Card,9,Month-to-Month,No
CUST10100,Male,33,South,Standard,20,107.95,7171.03,Debit Card,0,Two Year,No
CUST10101,Female,61,North,Basic,54,61.0,3204.31,Debit Card,3,One Year,Yes
CUST10102,Female,64,West,Basic,25,68.2,7697.92,Debit Card,9,One Year,Yes
CUST10103,Female,27,West,Standard,28,27.05,3384.71,Bank Transfer,4,Month-to-Month,No
CUST10104,Female,47,West,Basic,5,47.81,4848.55,UPI,1,One Year,No
CUST10105,Female,42,East,Standard,21,52.45,5707.46,Debit Card,1,Month-to-Month,No
CUST10106,Female,56,West,Basic,18,114.51,7609.68,UPI,0,Month-to-Month,No
CUST10107,Female,37,East,Basic,47,48.27,2032.47,Bank Transfer,7,Two Year,Yes
CUST10108,Female,22,East,Basic,70,66.09,5994.43,Credit Card,1,Month-to-Month,Yes
CUST10109,Male,18,South,Basic,57,87.13,4214.44,Bank Transfer,2,One Year,No
CUST10110,Female,47,West,Standard,19,36.22,2221.6,Debit Card,1,Month-to-Month,Yes
CUST10111,Male,66,West,Standard,65,68.64,6235.19,Credit Card,3,Month-to-Month,No
CUST10112,Female,20,North,Standard,3,93.85,4462.56,Bank Transfer,0,One Year,No
CUST10113,Female,62,South,Premium,42,106.69,5321.69,Bank Transfer,2,Month-to-Month,Yes
CUST10114,Male,31,North,Standard,21,82.63,2650.92,UPI,4,One Year,No
CUST10115,Female,47,South,Standard,40,86.91,3902.06,Bank Transfer,9,Month-to-Month,No
CUST10116,Male,67,West,Basic,67,32.63,4977.1,Credit Card,0,Two Year,No
CUST10117,Female,21,East,Standard,25,114.58,3298.8,Bank Transfer,3,Month-to-Month,No
CUST10118,Female,35,East,Standard,55,33.26,1667.14,Debit Card,5,Month-to-Month,No
CUST10119,Male,54,East,Basic,52,97.47,7696.96,UPI,3,Month-to-Month,No
CUST10120,Female,42,East,Standard,44,46.48,4140.59,Credit Card,6,Two Year,No
CUST10121,Male,65,East,Basic,56,113.36,5897.97,Credit Card,6,One Year,Yes
CUST10122,Female,18,North,Standard,55,92.0,3347.27,Bank Transfer,5,One Year,No
CUST10123,Male,63,South,Premium,70,95.38,2905.54,Debit Card,8,Month-to-Month,Yes
CUST10124,Male,32,West,Premium,66,41.91,3316.6,UPI,1,Month-to-Month,Yes
CUST10125,Female,26,North,Standard,19,64.3,3332.65,Credit Card,9,Month-to-Month,No
CUST10126,Female,32,South,Standard,7,81.78,4399.02,UPI,7,Month-to-Month,No
CUST10127,Male,66,East,Standard,63,97.0,4393.41,Bank Transfer,7,Month-to-Month,Yes
CUST10128,Female,41,South,Standard,42,30.4,4027.52,Debit Card,9,Two Year,No
CUST10129,Female,21,South,Basic,42,116.24,1164.81,Bank Transfer,3,One Year,No
CUST10130,Female,29,East,Standard,59,109.02,4019.0,UPI,5,Month-to-Month,Yes
CUST10131,Male,54,East,Standard,20,47.03,1435.92,Bank Transfer,5,Month-to-Month,No
CUST10132,Male,54,East,Premium,17,102.28,1096.47,UPI,4,One Year,Yes
CUST10133,Male,60,West,Standard,27,71.83,7467.9,Credit Card,0,Month-to-Month,No
CUST10134,Male,23,East,Standard,47,66.18,4879.11,Credit Card,2,Month-to-Month,Yes
CUST10135,Male,56,West,Standard,2,51.44,5309.97,Bank Transfer,6,Month-to-Month,No
CUST10136,Male,63,East,Standard,63,78.1,3274.17,Credit Card,7,Month-to-Month,Yes
CUST10137,Male,41,West,Standard,62,92.99,7280.95,UPI,1,One Year,No
CUST10138,Male,28,South,Basic,19,61.09,5139.65,Credit Card,2,Month-to-Month,No
CUST10139,Male,30,North,Standard,17,82.92,6176.44,Debit Card,3,Month-to-Month,No
CUST10140,Female,51,South,Premium,69,89.93,3011.64,Debit Card,4,Month-to-Month,No
CUST10141,Male,42,South,Standard,39,91.11,7684.09,Bank Transfer,2,One Year,Yes
CUST10142,Female,24,East,Basic,71,25.2,6581.64,Bank Transfer,4,Month-to-Month,No
CUST10143,Female,69,West,Standard,39,105.97,6846.19,Bank Transfer,7,Month-to-Month,Yes
CUST10144,Female,21,North,Premium,36,65.83,1460.33,Bank Transfer,7,Two Year,No
CUST10145,Male,25,East,Basic,40,46.24,2240.61,UPI,1,Two Year,Yes
CUST10146,Male,37,East,Standard,45,44.18,2356.45,UPI,5,Two Year,No
CUST10147,Male,46,East,Premium,4,68.3,2240.18,Debit Card,3,One Year,No
CUST10148,Male,68,South,Standard,25,108.68,6857.72,UPI,8,Month-to-Month,No
CUST10149,Female,62,West,Premium,69,57.83,351.89,Credit Card,9,Month-to-Month,Yes
CUST10150,Male,63,West,Standard,30,94.97,701.19,Debit Card,1,Month-to-Month,No
CUST10151,Male,27,North,Standard,68,29.68,2263.93,Bank Transfer,7,Month-to-Month,No
CUST10152,Male,60,West,Standard,29,67.61,1679.0,Bank Transfer,0,Two Year,No
CUST10153,Male,51,West,Basic,68,119.17,1931.69,UPI,5,One Year,No
CUST10154,Male,43,East,Basic,51,97.04,6403.75,Debit Card,9,One Year,No
CUST10155,Female,58,East,Standard,24,41.05,4548.7,UPI,0,Month-to-Month,No
CUST10156,Male,66,South,Basic,14,70.14,145.59,UPI,1,Two Year,No
CUST10157,Female,20,East,Standard,69,43.36,3491.65,UPI,2,One Year,No
CUST10158,Male,23,East,Premium,18,60.96,3322.29,Debit Card,8,Month-to-Month,No
CUST10159,Female,22,East,Premium,42,98.01,1000.17,Bank Transfer,4,Two Year,No
CUST10160,Male,22,East,Standard,57,97.12,5441.52,Credit Card,9,Month-to-Month,No
CUST10161,Male,64,South,Premium,12,42.81,5646.57,Bank Transfer,9,Month-to-Month,No
CUST10162,Female,40,East,Standard,17,112.22,5795.06,Debit Card,1,One Year,No
CUST10163,Female,66,North,Standard,30,79.26,5854.92,Bank Transfer,9,One Year,No
CUST10164,Female,26,North,Basic,23,57.99,100.42,Bank Transfer,4,Month-to-Month,No
CUST10165,Male,52,North,Standard,1,70.19,7635.97,Credit Card,4,Month-to-Month,No
CUST10166,Female,37,North,Standard,32,80.51,6532.25,Bank Transfer,0,Two Year,No
CUST10167,Male,66,East,Standard,9,75.99,7241.46,Bank Transfer,2,One Year,Yes
CUST10168,Male,59,North,Standard,15,68.64,223.58,Bank Transfer,4,One Year,Yes
CUST10169,Female,52,East,Basic,28,70.49,7477.48,UPI,8,Month-to-Month,Yes
CUST10170,Female,67,South,Standard,24,37.64,6497.33,Debit Card,9,Month-to-Month,No
CUST10171,Male,35,North,Premium,60,101.27,6714.03,Debit Card,0,Month-to-Month,No
CUST10172,Male,34,West,Standard,35,74.18,836.97,Credit Card,7,Month-to-Month,No
CUST10173,Female,41,North,Premium,27,33.11,5936.35,UPI,0,Month-to-Month,No
CUST10174,Female,20,North,Premium,20,96.62,7683.34,UPI,8,Month-to-Month,No
CUST10175,Female,49,East,Premium,65,113.24,5460.52,Bank Transfer,5,Month-to-Month,No
CUST10176,Male,52,North,Premium,49,114.73,4607.44,Debit Card,0,Month-to-Month,No
CUST10177,Male,55,West,Premium,1,56.9,7570.47,Credit Card,7,One Year,No
CUST10178,Male,30,East,Standard,10,33.55,3599.2,UPI,4,Month-to-Month,Yes
CUST10179,Male,64,East,Basic,47,71.84,4834.42,Bank Transfer,6,Month-to-Month,Yes
CUST10180,Male,42,South,Standard,59,31.26,3863.07,Credit Card,6,Month-to-Month,Yes
CUST10181,Male,26,South,Standard,62,113.4,7469.49,UPI,6,Month-to-Month,No
CUST10182,Female,21,North,Basic,18,38.36,701.07,Credit Card,5,Month-to-Month,No
CUST10183,Male,31,South,Basic,46,45.28,4058.85,UPI,7,Two Year,Yes
CUST10184,Male,54,South,Premium,32,60.66,5526.92,Credit Card,8,One Year,Yes
CUST10185,Male,51,South,Premium,27,58.32,6356.06,UPI,1,Month-to-Month,Yes
CUST10186,Female,28,East,Premium,18,99.47,4705.85,UPI,6,Month-to-Month,No
CUST10187,Male,58,East,Standard,39,65.63,7280.45,Credit Card,1,Month-to-Month,No
CUST10188,Male,20,East,Basic,49,37.08,7541.73,UPI,5,One Year,No
CUST10189,Female,45,South,Basic,44,46.72,608.12,UPI,1,Month-to-Month,No
CUST10190,Male,46,East,Basic,54,70.91,3278.73,UPI,9,Month-to-Month,No
CUST10191,Male,26,South,Basic,34,34.75,285.33,Credit Card,5,One Year,Yes
CUST10192,Male,20,East,Basic,71,81.17,2702.39,Credit Card,1,One Year,Yes
CUST10193,Male,42,East,Premium,36,76.57,4341.26,UPI,0,One Year,No
CUST10194,Male,51,West,Standard,18,91.47,7295.28,UPI,6,Two Year,No
CUST10195,Female,29,North,Basic,38,113.77,6787.78,Credit Card,2,Two Year,No
CUST10196,Female,59,South,Basic,59,111.23,1107.25,Bank Transfer,3,Month-to-Month,No
CUST10197,Female,26,West,Standard,9,114.61,834.94,UPI,5,Month-to-Month,No
CUST10198,Male,32,East,Basic,51,44.47,4755.21,Bank Transfer,4,One Year,Yes
CUST10199,Male,57,South,Premium,35,33.16,4303.73,Credit Card,3,One Year,No
CUST10200,Male,42,East,Standard,5,50.23,2204.38,UPI,8,Two Year,Yes
CUST10201,Female,22,North,Standard,14,109.51,7205.68,Bank Transfer,5,Month-to-Month,No
CUST10202,Male,28,West,Basic,30,117.21,7426.19,Credit Card,5,Month-to-Month,No
CUST10203,Male,51,North,Basic,4,105.93,3280.63,Bank Transfer,1,Month-to-Month,No
CUST10204,Female,41,West,Standard,39,31.0,7133.39,Debit Card,5,Month-to-Month,No
CUST10205,Male,32,East,Standard,64,114.74,3133.2,Credit Card,6,Month-to-Month,No
CUST10206,Female,55,North,Standard,25,62.34,5920.85,Debit Card,7,One Year,No
CUST10207,Female,25,North,Basic,28,20.93,3859.94,Credit Card,7,Month-to-Month,No
CUST10208,Female,22,East,Standard,66,64.24,1068.41,Credit Card,8,One Year,No
CUST10209,Male,65,North,Standard,22,24.61,7430.68,UPI,9,One Year,No
CUST10210,Male,43,South,Premium,31,74.39,3687.36,Debit Card,2,Month-to-Month,No
CUST10211,Male,35,West,Basic,23,53.86,5902.45,Debit Card,9,Month-to-Month,No
CUST10212,Male,23,West,Basic,48,67.34,3000.67,Debit Card,6,One Year,Yes
CUST10213,Male,54,West,Standard,20,81.32,249.16,Credit Card,6,One Year,No
CUST10214,Male,65,South,Standard,38,106.88,894.19,Debit Card,0,Two Year,Yes
CUST10215,Male,30,West,Standard,55,86.19,4020.13,Debit Card,7,Two Year,Yes
CUST10216,Female,45,East,Standard,68,63.4,5550.72,UPI,3,Two Year,No
CUST10217,Male,22,North,Standard,1,101.94,2744.41,Bank Transfer,4,Month-to-Month,No
CUST10218,Female,30,South,Premium,7,110.56,5594.36,Bank Transfer,5,Two Year,Yes
CUST10219,Male,34,West,Standard,57,31.98,5619.22,Debit Card,2,One Year,Yes
CUST10220,Male,67,East,Premium,12,73.19,5661.09,Debit Card,4,Two Year,No
CUST10221,Male,57,North,Standard,5,48.45,3990.92,Debit Card,9,Month-to-Month,No
CUST10222,Female,62,North,Premium,50,24.71,7327.6,Debit Card,4,Two Year,No
CUST10223,Female,49,South,Premium,42,86.85,3964.65,Bank Transfer,0,Month-to-Month,No
CUST10224,Female,46,South,Basic,12,106.28,3657.1,UPI,2,One Year,No
CUST10225,Female,68,South,Premium,18,36.29,1675.11,Credit Card,2,Month-to-Month,Yes
CUST10226,Male,20,East,Basic,66,101.24,2530.48,Debit Card,0,Month-to-Month,Yes
CUST10227,Female,57,East,Premium,17,105.34,434.44,Debit Card,6,Month-to-Month,No
CUST10228,Male,51,South,Standard,68,111.43,5104.93,Bank Transfer,0,Month-to-Month,No
CUST10229,Male,57,West,Basic,71,46.53,2063.43,Debit Card,6,Month-to-Month,Yes
CUST10230,Female,44,North,Standard,62,110.4,2502.83,UPI,3,One Year,Yes
CUST10231,Female,30,North,Premium,41,52.07,6189.43,UPI,8,Month-to-Month,Yes
